id,hard_skills,soft_skills,competences_recommandees
1220,ms project analyse de données anglais,résolution de problèmes capacité danalyse relationnel communication proactivité rigueur organisation,expertise reconnue dans lanalyse de la performance industrielle et la mise en uvre de solutions damélioration capacité à travailler en équipe et à piloter des projets de taille significative connaissance des outils de gestion de projet ex ms project est un plus analyse et de la résolution de problèmes capacité à travailler de manière autonome et en équipe est essentielle maîtrise des outils de gestion de projet connaissance des méthodes damélioration continue lean manufacturing six sigma etc analyse de données bonnes compétences relationnelles excellent niveau de communication oral et écrit une excellente connaissance des outils informatiques et une bonne maîtrise de langlais technique sont souhaitables proactivité votre rigueur et votre sens de lorganisation seront des atouts majeurs pour réussir dans ce poste
1221,access,Non spécifié,experience in tourholiday operations or similar
1222,audit qualité français anglais,qualités relationnelles,Non spécifié
1223,react kpi,initiative communication,experience in a similar role preferably in aviation experience with low cost airline is a plus knowledge in callcontact center technological systems and tools skills in analyzing data identifying pitfalls and recommending effective solutions react ability to use a balance of technical expertise and interpersonal relations to execute new initiatives that support companys objectives communication skills that enable himher utilize in building sales and marketing techniques ability to work for long working hours and under pressure ability to contribute and successfully deliver against business strategy and set kpis
1224,kpi,initiative,experience in assigned area mandatory in aviationairline experience with lowcost airline is a plus skills and techniques skills in analyzing data identifying pitfalls and recommending effective solutions expertise and interpersonal relations to execute new initiatives that support companys objectives ability to contribute and successfully deliver against business strategy and set kpis
1225,Non spécifié,travail en équipe,Non spécifié
1226,français,travail en équipe responsabilité,Non spécifié
1227,Non spécifié,esprit déquipe responsabilité,Non spécifié
1228,marketing digital montage vidéo seo arabe français anglais qualité,communication organisation relationnel,communication marketing digital ou équivalent compétences clés  maîtrise des réseaux sociaux et des outils associés compétences en rédaction création graphique montage vidéo et seo maîtrise de larabe et du français  langlais est un plus organisation excellent relationnel et esprit déquipe
1229,arabe français anglais qualité,communication organisation relationnel,communication relations publiques ou équivalent communication ou un média compétences clés  maîtrise de la rédaction et de lédition de contenus communication orale et interpersonnelle maîtrise parfaite de larabe et du français  la maîtrise de langlais est un plus organisation excellent relationnel et capacité à travailler en équipe
